'SongId','BandmateId','Instrument'
1,1,'trumpet'
1,2,'keyboard'
1,3,'accordion'
1,4,'bass balalaika'
2,1,'trumpet'
2,2,'drums'
2,3,'guitar'
2,4,'bass balalaika'
3,1,'drums'
3,1,'ukalele'
3,2,'banjo'
3,3,'bass balalaika'
3,4,'keyboards'
4,1,'drums'
4,2,'ukalele'
4,3,'accordion'
4,4,'bass balalaika'
5,1,'drums'
5,2,'keyboards'
5,3,'guitar'
5,4,'bass balalaika'
6,1,'xylophone'
6,2,'guitar'
6,3,'keyboards'
6,4,'mandolin'
7,1,'drums'
7,2,'keyboards'
7,3,'guitar'
7,4,'bass balalaika'
8,1,'trumpet'
8,1,'drums'
8,2,'keyboards'
8,3,'accordion'
8,4,'bass balalaika'
9,1,'xylophone'
9,2,'keyboards'
9,3,'bass balalaika'
9,4,'accordion'
10,1,'guitar'
10,1,'harmonica'
10,2,'bass balalaika'
10,3,'mandolin'
10,4,'banjo'
11,1,'bass balalaika'
11,2,'keyboards'
11,3,'accordion'
11,4,'drums'
12,1,'bass balalaika'
12,2,'accordion'
12,3,'keyboards'
12,4,'mandolin'
13,1,'drums'
13,2,'guitar'
13,2,'plastic kazoo'
13,3,'mandolin'
13,4,'bass balalaika'
14,1,'drums'
14,2,'keyboards'
14,3,'keyboards'
14,4,'accordion'
15,1,'guitar'
15,2,'bass balalaika'
15,3,'xylophone'
15,3,'accordion'
15,3,'harmonica'
15,4,'mandolin'
15,4,'drums'
16,1,'washboard'
16,2,'ukalele'
16,3,'banjo'
16,4,'bass balalaika'
17,1,'drums'
17,2,'guitar'
17,3,'keyboards'
17,4,'bass balalaika'
18,1,'keyboards'
18,2,'banjo'
18,3,'keyboards'
18,4,'xylophone'
19,1,'banjo'
19,2,'bass balalaika'
19,3,'mandolin'
19,4,'drums'
19,4,'accordion'
20,1,'keyboards'
20,2,'drums'
20,3,'guitar'
20,4,'bass balalaika'
21,1,'trumpet'
21,1,'keyboards'
21,2,'keyboards'
21,3,'banjo'
21,4,'xylophone'
21,4,'mandoline'
22,1,'guitar'
22,2,'drums'
22,3,'banjo'
22,4,'bass balalaika'
23,1,'domra'
23,2,'ukalele'
23,3,'mandolin'
23,4,'bass balalaika'
24,1,'drums'
24,2,'guitar'
24,3,'keyboards'
24,4,'bass balalaika'
25,1,'drums'
26,1,'drums'
26,2,'guitar'
26,3,'banjo'
26,4,'bass balalaika'
27,1,'drums'
27,2,'guitar'
27,3,'banjo'
27,4,'bass balalaika'
28,1,'drums'
28,2,'bass balalaika'
28,3,'guitar'
28,4,'mandolin'
29,1,'drums'
29,2,'keyboards'
29,3,'guitar'
29,4,'bass balalaika'
30,1,'drums'
30,2,'keyboards'
30,3,'guitar'
30,4,'bass balalaika'
31,1,'drums'
31,2,'guitar'
31,2,'toy piano'
31,3,'ukalele'
31,4,'bass balalaika'
32,1,'guitar'
32,2,'banjo'
32,3,'drums'
32,4,'bass balalaika'
33,1,'ukalele'
33,2,'guitar'
33,3,'banjo'
33,4,'bass balalaika'
34,1,'ukalele'
34,2,'drums'
34,3,'accordion'
34,4,'bass'
35,1,'ukalele'
35,2,'guitar'
35,3,'mandolin'
35,4,'bass'
36,1,'toy piano'
36,1,'ukalele'
36,2,'drums'
36,3,'guitar'
36,4,'bass'
37,1,'drums'
37,2,'keyboards'
37,3,'guitar'
37,4,'bass'
38,1,'drums'
38,2,'bass'
38,3,'guitar'
38,4,'guitar'
39,1,'ukalele'
39,2,'bass'
39,3,'dobro'
39,4,'drums'
39,4,'banjo'
40,1,'guitar'
40,2,'bass'
40,3,'small guitar'
40,4,'accordion'
41,1,'drums'
41,2,'guitar'
41,3,'banjo'
41,4,'bass balalaika'
43,1,'washboard'
43,2,'ukalele'
43,2,'kazoo'
43,3,'banjo'
43,4,'bass balalaika'
